ac_id_09,booth_id_14,booth_name_14,address_14,parts_14,village_14,ward_14,revenue_14,court_14,thana_14,tehsil_14,district_14,pincode_14,pc_id_09,pc_name_09,pc_reserved_09,ac_name_14,ac_reserved_14
1,1,"4 … नवानगर","राजकीय प्राथमिक पाठशाला, नवानगर","1 : साम नवा नगर ह.न.: 98 माना 1 से (98-2: साम मानव केन्द्र ह.न.: 98 माना 1 से 51","नवा' नगर",98,"मढावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
1,2,"2 - शाहपुर","राजकीय प्राथमिक पाठशाला, शाहपुर","1: साम शाहपुर ह.न.: 99 माना 0 से 1120/1","शाहपुर",99,"मदावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
1,3,"3 - खोखरा","राजकीय प्राथमिक पाठशाला, खोखरा","1: ग्रामखोंखरा ह.न.: (00 माना 1 से (33","खोखरा",0,"मदावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
1,4,"4 - गोरखनाथ","राजकीय प्राथमिक पाठशाला, गोरखनाथ","1 : साम गोरखनाथ ह.न.: 97 माना 1 से (62-2: ग्रामप्तीतोमाज़रा माना 1 से 336","गोरखनाथ",97,"मदावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
1,5,"6 … भढावालक्व","राजकीय उच्च विधालय, भढावाला (पूर्वी भाग)","1: साममदावाला (अंशत) ब्लाक न. 1 ह.न.: 95 माना 1 से 2424","मढावाला'",95,"मढावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
1,6,"6 … भढावालक्व","राजकीय उच्च विधालय, भढावाला (पश्चिमी भाग)","1: साममदावाला (रिशता ब्लऱकन. 2 ह.न.: 95 माना ऐवा20 से 4046-2: ग्रामलहरोम्नडी माना 1 से 400","मढावाला'",95,"मढावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
1,7,"7 - कीना","राजकीय प्राथमिक पाठशाला, कीना","1: ग्रामकौना ह.न.: 93 माना 0 से 177","कौना",93,"मदावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
1,8,"8 - रामपुर जंगी","राजकीय मप्रत्मेक पाठशाला, रामपुर जंगी","1 : साम रामपुर जंगी ह.न.: 92 माना 1 से (49","रामपुर जंगी",92,"मदावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
1,9,"9 - खोलमुल्लक्व","राजकीय मप्रत्मेक पाठशाला, खोलमुल्लक्व","1: ग्रामखोलमुल्लनं ह.न.: 101 माना 1 से 260","खोलमुल्लनं",0,"मदावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
1,10,"10 - खोलफतेह सिंह","राजकीय प्राथमिक पाठशाला, खोंलफ्तेह सिह","1: ग्रामखोलफतेहसिंह ह.न.: (02 माना 01 से प्रा-सी","खोलफतेह सिह",0,"मदावाला","पिंन्जपैर","पिंन्जनैर","कालका","पंचकुला",134102,1,Ambala,SC,Kalka,""
